GoodCustomer (label),Sex,Age,Credit,LoanDuration
1.0,1.0,30,2063,6
0.0,1.0,42,6288,60
1.0,1.0,46,6842,24
1.0,1.0,45,3527,12
1.0,1.0,31,1546,10
1.0,1.0,31,929,24
1.0,1.0,42,1455,4
1.0,0.0,46,1845,15
1.0,0.0,30,8358,48
0.0,1.0,30,3349,24
1.0,1.0,38,2859,12
0.0,1.0,43,1533,18
0.0,1.0,31,3621,24
1.0,1.0,40,3590,18
0.0,1.0,24,2145,36
0.0,0.0,28,4113,24
0.0,0.0,26,10974,36
1.0,0.0,29,1893,12
1.0,0.0,57,1231,24
1.0,1.0,49,3656,30
1.0,1.0,37,1154,9
0.0,1.0,45,4006,28
1.0,1.0,30,3069,24
1.0,1.0,30,1740,6
1.0,1.0,47,2353,21
1.0,1.0,29,3556,15
0.0,1.0,35,2397,24
1.0,1.0,22,454,6
1.0,0.0,26,1715,30
0.0,1.0,23,2520,27
1.0,0.0,54,3568,15
1.0,1.0,29,7166,42
1.0,1.0,40,3939,11
1.0,1.0,22,1514,15
1.0,1.0,43,7393,24
0.0,0.0,29,1193,24
0.0,1.0,36,7297,60
1.0,0.0,33,2831,30
1.0,0.0,57,1258,24
1.0,0.0,64,753,6
1.0,1.0,42,2427,18
0.0,1.0,47,2538,24
0.0,1.0,25,1264,15
0.0,1.0,49,8386,30
0.0,1.0,33,4844,48
1.0,0.0,28,2923,21
0.0,1.0,26,8229,36
1.0,1.0,30,2028,24
1.0,0.0,25,1433,15
1.0,1.0,33,6289,42
1.0,0.0,64,1409,13
1.0,1.0,29,6579,24
1.0,1.0,48,1743,24
1.0,1.0,37,3565,12
1.0,1.0,34,1569,15
1.0,1.0,23,1936,18
1.0,1.0,30,3959,36
1.0,1.0,50,2390,12
1.0,0.0,31,1736,12
1.0,1.0,40,3857,30
1.0,1.0,38,804,12
0.0,1.0,23,1845,45
1.0,1.0,27,4576,45
